,Player Name,Average,Matches
332,L R Johnson,150.0,10
333,Taijul Islam,45.714285714285715,35
334,Yasir Shah,55.00000000000001,60
335,Imran Khan,0.0,10
336,M R Marsh,100.0,48
337,S N J O'Keefe,26.666666666666668,15
338,T Kamungozi,0.0,2
339,Shuvagata Hom,150.0,10
340,Jubair Hossain,0.0,7
341,B B Chari,109.09090909090908,11
342,N M'shangwe,0.0,4
343,S van Zyl,168.75,16
344,S P D Smith*,420.0,55
345,J R Hazlewood,20.588235294117645,68
346,N Dickwella,0.0,3
347,P H T Kaushal,36.36363636363637,11
348,T Bavuma,165.07936507936506,63
349,J A Burns,180.0,30
350,K L Rahul,166.66666666666669,51
351,S R Harmer,0.0,8
352,J C Tredwell,0.0,2
353,Soumya Sarkar,300.0,17
354,Mohammad Shahid,33.33333333333333,3
355,Sami Aslam,204.54545454545453,22
356,S D Hope,123.91304347826086,46
357,A Lyth,236.36363636363637,11
358,M A Wood,62.5,24
359,M J Henry,25.0,16
360,L Ronchi,300.0,2
361,S O Dowrich,100.0,2
362,A C Voges,380.0,30
363,V Kohli*,329.16666666666663,72
364,W P Saha,152.38095238095238,42
365,P V D Chameera,18.75,16
366,J Mubarak,133.33333333333331,6
367,P M Nevill,100.0,24
368,Mushfiqur Rahim*,366.66666666666663,3
369,Liton Das,130.76923076923077,13
370,Mustafizur Rahman,0.0,13
371,Shoaib Malik,400.0,5
372,T A M Siriwardana,166.66666666666669,9
373,M D K J Perera,162.5,8
374,J O Holder*,137.77777777777777,45
375,B K G Mendis,127.53623188405795,69
376,J A Warrican,11.11111111111111,9
377,A U Rashid,50.0,26
378,D J Vilas,55.55555555555556,9
379,K Rabada,43.28358208955223,67
380,M J Santner,117.85714285714286,28
381,M D U S Jayasundera,25.0,4
382,A D Hales,205.26315789473685,19
383,C R Brathwaite,400.0,1
384,A B de Villiers*,340.0,5
385,C H Morris,66.66666666666666,6
386,G C Viljoen,50.0,2
387,S C Cook,216.66666666666666,18
