,Player Name,Average,Matches
366,Elias Sunny,20.0,10
367,G Gambhir*,258.33333333333337,12
368,I K Pathan,141.93548387096774,31
369,A B de Villiers*,146.15384615384613,13
370,J A Morkel,41.66666666666667,12
371,A N Petersen,40.0,10
372,V D Philander,0.0,1
373,B B McCullum*,112.3076923076923,65
374,T W M Latham,68.75,16
375,D G Brownlie,0.0,2
376,A M Ellis,0.0,2
377,D A J Bracewell,123.52941176470588,17
378,S Matsikenyeri,163.23529411764704,68
379,M S Wade,0.0,14
380,D T Christian,0.0,12
381,R J Harris,9.523809523809524,21
382,T S Nethula,21.951219512195124,41
383,D P M D Jayawardene*,21.73913043478261,23
384,H D R L Thirimanne,146.15384615384613,13
385,Amir Hamza,175.0,12
386,Shapoor Zadran,100.0,1
387,C J McKay,0.0,1
388,M A Starc,50.0,8
389,S M S M Senanayake,137.5,8
390,P J Forrest,0.0,3
391,Azhar Ali,100.0,1
392,D O Obuya,110.00000000000001,20
393,J C Buttler,0.0,1
394,D R Briggs,15.384615384615385,13
395,M F Maharoof,160.0,25
396,S R Watson*,209.30232558139537,43
397,B W Hilfenhaus,140.0,25
398,J L Ontong,17.857142857142858,28
399,C de Grandhomme,50.0,2
400,M D Bates,20.0,5
401,M de Lange,30.0,10
402,N M Lyon,0.0,1
403,Nasir Jamshed,120.83333333333333,24
404,G J Bailey,0.0,1
405,J Charles,0.0,1
406,S P Narine,88.88888888888889,9
407,Nazimuddin,0.0,2
408,Jahurul Islam,88.88888888888889,18
409,Mashrafe Mortaza,0.0,4
410,Shahadat Hossain,33.33333333333333,3
411,Nazmul Hossain,288.88888888888886,54
412,Javed Ahmadi,153.33333333333334,15
413,Zakiullah Zaki,18.181818181818183,22
414,Izatullah Dawlatzai,0.0,1
415,S J Myburgh,136.36363636363635,44
416,T van der Gugten,6.25,32
417,S Weerakoon,100.0,2
418,D R Smith,166.66666666666669,3
419,T L Best,0.0,1
420,D R Flynn,0.0,4
421,K S Williamson*,0.0,1
422,N J O'Brien,0.0,1
423,T J Murtagh,16.666666666666664,12
424,Karim Sadiq*,16.666666666666664,12
425,Najibullah Zadran,85.71428571428571,28
426,T A Boult,0.0,1
427,Zeeshan Siddiqi,0.0,10
428,D Daesrath,155.84415584415586,77
429,D Soraine,71.42857142857143,7
430,J O A Gordon,34.61538461538461,26
431,D R Ramsammy,26.666666666666668,15
432,J H Stander,160.8695652173913,23
433,R M Haq,120.0,20
434,A C Evans,45.45454545454545,11
435,T W M Latham,0.0,3
436,P P Ojha,35.294117647058826,34
437,N Pradeep,0.0,16
438,G J Maxwell,0.0,1
439,D Elgar,211.76470588235296,68
440,R McLaren,200.0,21
441,A F Milne,245.45454545454547,33
442,Anamul Haque,247.61904761904762,21
443,Mominul Haque,262.10526315789474,95
444,Sohag Gazi,100.0,2
445,V Permaul,0.0,9
446,B Kumar,211.11111111111111,18
447,Mohammad Irfan,33.33333333333333,6
448,A B Dinda,269.64285714285717,56
449,A J Finch,236.046511627907,86
450,P J Hughes,80.0,5
451,U T Khawaja,80.0,5
452,G J Bailey*,169.6969696969697,33
453,J E Root,114.6341463414634,41
454,B C J Cutting,44.44444444444444,9
455,K W Richardson,115.78947368421053,38
456,M D K J Perera,182.71604938271605,81
457,M C Henriques,288.88888888888886,27
458,A B de Villiers*,119.51219512195121,41
459,Q de Kock,0.0,8
460,R K Kleinveldt,4.545454545454546,22
461,B J Watling,10.0,10
462,G D Elliott,65.78947368421053,38
463,J D S Neesham,20.0,5
464,M J McClenaghan,0.0,4
465,C Munro,138.88888888888889,18
466,J C Buttler,159.45945945945945,37
467,F du Plessis*,188.88888888888889,9
468,F Behardien,25.0,4
469,A M Phangiso,3.7037037037037033,27
470,Mohammed Shami,33.33333333333333,3
471,J O Holder,12.5,8
472,J P Faulkner,188.88888888888889,18
473,N Deonarine,100.0,1
474,H D Rutherford,20.0,5
475,D J J Bravo*,19.230769230769234,26
476,B B McCullum*,0.0,10
477,B R M Taylor*,50.0,12
478,N M'shangwe,121.05263157894737,19
479,T L Chatara,177.35849056603774,53
